 Z  N   Eth       Emax       E0        s0        ya        P        yw        y0        y1
 1  1 1.360E+01 5.000E+04 4.298E-01 5.475E+04 3.288E+01 2.963E+00 0.000E+00 0.000E+00 0.000E+00
 2  2 2.459E+01 5.000E+04 1.361E+01 9.492E+02 1.469E+00 3.188E+00 2.039E+00 4.434E-01 2.136E+00
 2  1 5.442E+01 5.000E+04 1.720E+00 1.369E+04 3.288E+01 2.963E+00 0.000E+00 0.000E+00 0.000E+00
 3  3 5.392E+00 6.439E+01 3.107E+00 6.245E+01 1.501E+01 4.895E+00 0.000E+00 0.000E+00 0.000E+00
 3  2 7.564E+01 5.000E+04 2.006E+01 3.201E+02 7.391E+00 2.916E+00 0.000E+00 0.000E+00 0.000E+00
 3  1 1.225E+02 5.000E+04 3.871E+00 6.083E+03 3.288E+01 2.963E+00 0.000E+00 0.000E+00 0.000E+00
 4  4 9.323E+00 1.193E+02 9.539E+00 2.932E+05 4.301E-01 1.052E+01 3.655E-01 8.278E-04 1.269E-02
 4  3 1.821E+01 1.299E+02 1.181E+00 2.678E+02 5.645E+00 1.170E+01 0.000E+00 0.000E+00 0.000E+00
 4  2 1.539E+02 5.000E+04 1.760E+01 5.458E+02 1.719E+01 3.157E+00 0.000E+00 0.000E+00 0.000E+00
 4  1 2.177E+02 5.000E+04 6.879E+00 3.422E+03 3.288E+01 2.963E+00 0.000E+00 0.000E+00 0.000E+00
 5  5 8.298E+00 1.940E+02 5.213E-01 5.466E+00 8.618E+00 1.728E+01 1.887E+01 1.319E+01 4.556E+00
 5  4 2.516E+01 2.098E+02 2.869E+00 1.859E+04 1.783E+00 1.618E+01 3.503E+00 4.960E-03 3.400E-02
 5  3 3.793E+01 2.274E+02 1.041E+00 5.393E+01 1.767E+01 9.540E+00 0.000E+00 0.000E+00 0.000E+00
 5  2 2.594E+02 5.000E+04 3.336E+01 2.846E+02 2.163E+01 2.624E+00 0.000E+00 0.000E+00 0.000E+00
 5  1 3.402E+02 5.000E+04 1.075E+01 2.190E+03 3.288E+01 2.963E+00 0.000E+00 0.000E+00 0.000E+00
 6  6 1.126E+01 2.910E+02 2.144E+00 5.027E+02 6.216E+01 5.101E+00 9.157E-02 1.133E+00 1.607E+00
 6  5 2.438E+01 3.076E+02 4.058E-01 8.709E+00 1.261E+02 8.578E+00 2.093E+00 4.929E+01 3.234E+00
 6  4 4.789E+01 3.289E+02 4.614E+00 1.539E+04 1.737E+00 1.593E+01 5.922E+00 4.378E-03 2.528E-02
 6  3 6.449E+01 3.522E+02 3.506E+00 1.068E+02 1.436E+01 7.457E+00 0.000E+00 0.000E+00 0.000E+00
 6  2 3.921E+02 5.000E+04 4.624E+01 2.344E+02 2.183E+01 2.581E+00 0.000E+00 0.000E+00 0.000E+00
 6  1 4.900E+02 5.000E+04 1.548E+01 1.521E+03 3.288E+01 2.963E+00 0.000E+00 0.000E+00 0.000E+00
 7  7 1.453E+01 4.048E+02 4.034E+00 8.235E+02 8.033E+01 3.928E+00 9.097E-02 8.598E-01 2.325E+00
 7  6 2.960E+01 4.236E+02 6.128E-02 1.944E+00 8.163E+02 8.773E+00 1.043E+01 4.280E+02 2.030E+01
 7  5 4.745E+01 4.473E+02 2.420E-01 9.375E-01 2.788E+02 9.156E+00 1.850E+00 1.877E+02 3.999E+00
 7  4 7.747E+01 4.753E+02 5.494E+00 1.690E+04 1.714E+00 1.706E+01 7.904E+00 6.415E-03 1.937E-02
 7  3 9.789E+01 5.043E+02 4.471E+00 8.376E+01 3.297E+01 6.003E+00 0.000E+00 0.000E+00 0.000E+00
 7  2 5.521E+02 5.000E+04 6.943E+01 1.519E+02 2.627E+01 2.315E+00 0.000E+00 0.000E+00 0.000E+00
 7  1 6.671E+02 5.000E+04 2.108E+01 1.117E+03 3.288E+01 2.963E+00 0.000E+00 0.000E+00 0.000E+00
 8  8 1.362E+01 5.380E+02 1.240E+00 1.745E+03 3.784E+00 1.764E+01 7.589E-02 8.698E+00 1.271E-01
